0x0	__function_selector__
0x110	name()
0x18d	approve(address,uint256)
0x1cd	totalSupply()
0x1e7	transferFrom(address,address,uint256)
0x21d	decimals()
0x23b	increaseAllowance(address,uint256)
0x267	mint(address,uint256)
0x293	balanceOf(address)
0x2b9	0x7c000138
0x2c3	owner()
0x2e7	symbol()
0x2ef	burn(address,uint256)
0x31b	decreaseAllowance(address,uint256)
0x347	transfer(address,uint256)
0x373	initialize(string,string,uint256)
0x4a2	allowance(address,address)
0x4d0	transferOwnership(address)
0x4f6	0x4f6
0x73b	0x73b
0x74a	0x74a
0xaaf	0xaaf
0xab3	0xab3
0xb9f	0xb9f
0xcfc	0xcfc
0xd93	0xd93
0xdf4	0xdf4
0xfe2	0xfe2
0xff3	0xff3
0x10a9	0x10a9
0x1206	0x1206
0x12a7	0x12a7
0x137f	0x137f
0x140b	0x140b
0x160d	()
0x160d	fallback()
0x1af8	0x1af8
0x1b1c	0x1b1c
0x1b40	0x1b40
