0x192	0x6fdde03
0x20f	0x83c6323
0x229	0x95ea7b3
0x276	0x18160ddd
0x27e	0x23b872dd
0x2c1	0x313ce567
0x2df	0x355274ea
0x2e7	0x39509351
0x320	0x3dd08c38
0x353	0x42966c68
0x372	0x48cd4cb1
0x37a	0x4ec81af1
0x3bf	0x5aa6e675
0x3f0	0x70a08231
0x423	0x715018a6
0x42b	0x880ad0af
0x433	0x8da5cb5b
0x43b	0x95d89b41
0x443	0xa457c2d7
0x47c	0xa9059cbb
0x4b5	0xb038abeb
0x4bd	0xdd62ed3e
0x4f8	0xf2fde38b
0x191e	0x00000000
