0x664	0x666
0x666	0x669
0x669	0x66c
0x66e	0x683
0x683	0x685
0x686	0x689
0x689	0x68d
0x68e	0x690
0x690	0x691
0x691	0x693
0x693	0x694
0x694	0x697
0x697	0x69c
0x69c	0x69f
0x69f	0x6a0
0x6a8	0x6af
0x6b1	0x6b3
0x6b3	0x6b4
0x6b4	0x6b6
0x6b6	0x6b8
0x6ba	0x6bc
0x6bc	0x6be
0x6c0	0x6c2
0x6c2	0x6c5
0x6c5	0x6c8
0x6c8	0x6cb
0x6ce	0x6d2
0x6d2	0x6d4
0x6d4	0x6d6
0x6d6	0x6d9
0x6d9	0x6dc
0x6de	0x6f5
0x6f5	0x6f7
0x6f8	0x6fc
0x6fc	0x700
0x701	0x705
0x705	0x706
0x706	0x70a
0x70a	0x70d
0x70d	0x70f
0x713	0x714
0x714	0x716
0x716	0x71b
0x71b	0x71e
0x71e	0x71f
0x721	0x723
0x723	0x725
0x726	0x72a
0x72b	0x72e
0x72e	0x72f
0x72f	0x730
0x730	0x732
0x732	0x734
0x736	0x739
0x739	0x73b
0x73b	0x73e
0x743	0x745
0x745	0x747
0x749	0x74b
0x74b	0x74c
0x74c	0x750
0x750	0x751
0x751	0x753
0x753	0x755
0x755	0x758
0x75a	0x75d
0x75d	0x760
0x763	0x766
0x768	0x76a
0x76a	0x76b
0x76b	0x76d
0x76d	0x76e
0x76e	0x770
0x770	0x773
0x774	0x776
0x776	0x777
0x777	0x77b
0x77b	0x77d
0x77d	0x77f
0x780	0x782
0x782	0x785
0x785	0x787
0x787	0x78a
0x78a	0x78c
0x78d	0x790
0x791	0x793
0x793	0x795
0x795	0x798
0x798	0x79b
0x79c	0x79e
0x79e	0x7a2
0x7a2	0x7a4
0x7a4	0x7a7
0x7a7	0x7a9
0x7ab	0x7ad
0x7ad	0x7ae
0x7ae	0x7b2
0x7b2	0x7b3
0x7b3	0x7b5
0x7b5	0x7b6
0x7b6	0x7b8
0x7b8	0x7b9
0x7b9	0x7bc
0x7bd	0x7c0
0x7c0	0x7c1
0x7c1	0x7c3
0x7c3	0x7c4
0x7c4	0x7c7
0x7c7	0x7ca
0x7ca	0x7cb
0x7cb	0x7ce
0x7ce	0x7cf
0x7cf	0x7d0
0x7d0	0x7d2
0x7d2	0x7d4
0x7d6	0x7d9
0x7d9	0x7dc
0x7de	0x7e1
0x7e1	0x7e3
0x7e3	0x7e5
0x7e5	0x7e7
0x7e7	0x7e8
0x7e8	0x7ea
0x7ec	0x7ef
0x7f0	0x7f2
0x7f2	0x7f3
0x7f3	0x815
0x817	0x819
0x819	0x81b
0x81b	0x81d
0x81d	0x81e
0x81e	0x820
0x822	0x825
0x826	0x828
0x828	0x829
0x829	0x84b
0x84d	0x850
0x852	0x855
0x855	0x856
0x856	0x877
0x877	0x878
0x878	0x88e
0x88e	0x88f
0x88f	0x891
0x892	0x896
0x897	0x89b
0x89c	0x8a0
0x8a2	0x8a3
0x8a3	0x8a6
0x8a7	0x8aa
0x8aa	0x8ab
0x8ab	0x8ae
0x8ae	0x8af
0x8af	0x8b1
0x8ba	0x8bc
0x8bc	0x8bd
0x8bd	0x8d2
0x8d2	0x8d4
0x8d6	0x8eb
0x8eb	0x8ec
0x8ec	0x8f0
0x8f1	0x8f3
0x8f3	0x8f5
0x8f6	0x8f9
0x8f9	0x8fa
0x8fa	0x8fc
0x8fe	0x901
0x901	0x904
0x906	0x908
0x908	0x909
0x909	0x920
0x920	0x922
0x922	0x923
0x923	0x924
0x924	0x927
0x928	0x92b
0x92b	0x92c
0x92c	0x930
0x930	0x932
0x932	0x934
0x935	0x937
0x937	0x93a
0x93a	0x93d
0x93e	0x941
0x941	0x942
0x943	0x964
0x964	0x967
0x967	0x968
0x96a	0x96e
0x96e	0x96f
0x96f	0x971
0x971	0x973
0x975	0x977
0x977	0x978
0x978	0x97a
0x97a	0x97b
0x97b	0x97e
0x97e	0x993
0x993	0x995
0x995	0x9b9
0x9ba	0x9bd
0x9bd	0x9be
0x9be	0x9df
0x9df	0x9e1
0x9e4	0x9fa
0x9fa	0x9fd
0x9fd	0xa00
0xa02	0xa17
0xa17	0xa18
0xa18	0xa39
0xa39	0xa3b
0xa3b	0xa3c
0xa3c	0xa3e
0xa3e	0xa41
0xa41	0xa43
0xa44	0xa47
0xa47	0xa48
0xa48	0xa69
0xa69	0xa6a
0xa6a	0xa82
0xa82	0xa86
0xa86	0xa88
0xb26	0xb28
0xb28	0xb2b
0xb2b	0xb2e
0xb2e	0xb31
0xb34	0xb38
0xb38	0xb3a
0xb3a	0xb3c
0xb3c	0xb3e
0xb3e	0xb3f
0xb3f	0xb41
0xb43	0xb46
0xb47	0xb49
0xb49	0xb4a
0xb4a	0xb4d
0xb4d	0xb50
0xb51	0xb53
0xb53	0xb55
0xb55	0xb58
0xb58	0xb5b
0xb5d	0xb74
0xb74	0xb76
0xb77	0xb7b
0xb7b	0xb7f
0xb80	0xb84
0xb84	0xb85
0xb85	0xb89
0xb89	0xb8c
0xb8c	0xb8e
0xb92	0xb93
0xb93	0xb96
0xb96	0xb9b
0xb9b	0xb9e
0xb9e	0xb9f
0xba1	0xba3
0xba3	0xba6
0xba6	0xba9
0xba9	0xbac
0xbb0	0xbb3
0xbb5	0xbb7
0xbb7	0xbb8
0xbb8	0xbcd
0xbcd	0xbcf
0xbd1	0xbe8
0xbe8	0xbe9
0xbe9	0xbed
0xbee	0xbf0
0xbf0	0xbf4
0xbf5	0xbf9
0xbf9	0xbfd
0xbfd	0xbff
0xc04	0xc05
0xc05	0xc07
0xc09	0xc0c
0xc0c	0xc0f
0xc11	0xc13
0xc13	0xc14
0xc14	0xc2b
0xc2b	0xc2d
0xc2d	0xc2e
0xc2e	0xc2f
0xc2f	0xc32
0xc33	0xc36
0xc36	0xc37
0xc37	0xc3b
0xc3b	0xc3d
0xc3d	0xc3f
0xc40	0xc42
0xc42	0xc45
0xc45	0xc48
0xc49	0xc4c
0xc4c	0xc4d
0xc4e	0xc6f
0xc6f	0xc72
0xc72	0xc73
0xc75	0xc79
0xc79	0xc7a
0xc7a	0xc7c
0xc7c	0xc7e
0xc80	0xc96
0xc96	0xc97
0xc97	0xc9a
0xc9b	0xc9d
0xc9d	0xc9e
0xc9e	0xca2
0xca2	0xca4
0xca4	0xca6
0xca7	0xca9
0xca9	0xcac
0xcac	0xcae
0xcae	0xcb1
0xcb1	0xcb3
0xcb4	0xcb7
0xcb8	0xcba
0xcba	0xcbc
0xcbc	0xcbf
0xcbf	0xcc2
0xcc3	0xcc5
0xcc5	0xcc9
0xcc9	0xccb
0xccb	0xcce
0xcce	0xcd0
0xcd2	0xcd4
0xcd4	0xcd5
0xcd5	0xcd7
0xcd7	0xcd8
0xcd8	0xcef
0xcef	0xcf1
0xcf1	0xcf3
0xcf3	0xd15
0xd15	0xd18
0xd19	0xd1c
0xd1c	0xd1d
0xd1d	0xd3e
0xd3e	0xd3f
0xd3f	0xd57
0xd57	0xd5b
0xd5b	0xd5d
0xd64	0xd7a
0xd7a	0xd7b
0xd7b	0xd7e
0xd7f	0xd81
0xd81	0xd82
0xd82	0xd86
0xd86	0xd88
0xd88	0xd8a
0xd8b	0xd8d
0xd8d	0xd90
0xd90	0xd92
0xd92	0xd95
0xd95	0xd97
