0xe63	totalSupply()
0x16a8	getBorrowRate(uint256,uint256,uint256)
0x2125	transferAllowed(address,address,address,uint256)
0x239e	transferVerify(address,address,address,uint256)
0x251b	balanceOf(address)
0x2948	isInterestRateModel()
0x2c89	seizeAllowed(address,address,address,address,uint256)
0x2e54	seizeVerify(address,address,address,address,uint256)
0x303a	accrueInterest()
0x31be	repayBorrowAllowed(address,address,address,uint256)
0x3506	repayBorrowVerify(address,address,address,uint256,uint256)
0x3777	transfer(address,uint256)
0x3a2a	redeemAllowed(address,address,uint256)
0x3cb2	redeemVerify(address,address,uint256,uint256)
0x3da8	mintAllowed(address,address,uint256)
0x4173	mintVerify(address,address,uint256,uint256)
0x4203	borrowAllowed(address,address,uint256)
0x448a	borrowVerify(address,address,uint256)
0x4525	liquidateBorrowAllowed(address,address,address,address,uint256)
0x45d0	accrualBlockNumber()
0x46f2	liquidateCalculateSeizeTokens(address,address,uint256)
0x47be	balanceOf(address)
0x48be	seize(address,address,uint256)
0x4a02	liquidateBorrowVerify(address,address,address,address,uint256,uint256)
0x4a86	balanceOf(address)
0x4b0d	transferFrom(address,address,uint256)
0x4bf1	balanceOf(address)
0x107a0x66f	isComptroller()
0x107a0x1005	isComptroller()
0x1a490x19d8S0x9a6	getSupplyRate(uint256,uint256,uint256,uint256)
0x1a490x1e7eS0xb3a	getBorrowRate(uint256,uint256,uint256)
