0xdc7
0xde9
0xe18
0xe49
0xe66
0xe92
0xf7a
0xfa9
0x108d
0x10be
0x10ed
0x1101
0x111e
0x13940x68e
0x13a30x68e
0x13da0x68e
0x13940x986
0x13a30x986
0x13da0x986
0x13940xa45
0x13a30xa45
0x13da0xa45
0x13940xab3
0x13a30xab3
0x13da0xab3
0x13fb0x68e
0x13fb0x986
0x13fb0xa45
0x13fb0xab3
0x14270x68e
0x14270x986
0x14270xa45
0x14270xab3
