0x2fef	mint(address,uint256)
0x3195	balanceOf(address)
0x3223	transfer(address,uint256)
0x32ad	transfer(address,uint256)
0x3959	token0()
0x39ce	token1()
0x3abf	price0CumulativeLast()
0x3b35	price1CumulativeLast()
0x3bb0	getReserves()
0x4258	totalSupply()
0x42e5	getReserves()
0x4527S0x4366	getReserves()
0x45d7S0x4366	price1CumulativeLast()
0x4679S0x4366	price0CumulativeLast()
0x4ae2S0x4779	price0CumulativeLast()
0x4b55S0x4779	price1CumulativeLast()
0x4bcdS0x4779	getReserves()
