0x1a	0x8a
0x25	0x59
0x92	0xc6
0xf7	0x1a34
0xfb	0x1a55
0x10b	0x113
0x115	0x1a76
0x118	0x637
0x139	0x1ab1
0x146	0x14e
0x162	0x33e0x138
0x16a	0x172
0x174	0x1ad2
0x177	0x646
0x17f	0x187
0x189	0x1b0d
0x18c	0x655
0x194	0x19c
0x19e	0x1b48
0x1a1	0x664
0x1a9	0x1b1
0x1b3	0x1b83
0x1b6	0x673
0x1be	0x1c6
0x1c8	0x1bbe
0x1d5	0x1dd
0x1e9	0x682
0x1f1	0x1f9
0x1fb	0x1bdf
0x208	0x210
0x21c	0x73d
0x236	0x23e
0x240	0x1c10
0x243	0x74f
0x24b	0x253
0x255	0x1c31
0x258	0x803
0x260	0x268
0x26a	0x1c6c
0x275	0x27d
0x27f	0x1c8d
0x28c	0x294
0x2c8	0x89a
0x2d0	0x2d8
0x2da	0x1cae
0x2e7	0x2ef
0x2f2	0x9b4
0x2fa	0x302
0x304	0x1cdf
0x307	0xb23
0x30f	0x317
0x319	0x1d1a
0x326	0x32e
0x33a	0xb32
0x683	0x68a
0x69c	0x6ec
0x750	0x757
0x769	0x7b9
0x864	0x86c
0x873	0x880
0x88e	0x896
0x8a7	0x8b3
0x8ac	0x8b3
0x8b5	0x8c1
0x8c2	0x8fc
0x90b	0x927
0x928	0x92f
0x992	0x999
0x99c	0x9ab
0x9ba	0x9c1
0x9c9	0x9dd
0x9cc	0x9d6
0xa27	0xa2f
0xa36	0xa43
0xa51	0xa59
0xa68	0xa7d
0xa98	0xaac
0xa9c	0xaa6
0xaa8	0xab8
0xaae	0xab8
0xad4	0xade
0xada	0xae1
0xae7	0xb14
0xaeb	0xaf4
0xaf6	0xafb
0xafe	0xb07
0xb09	0xb0e
0xb10	0x153a
0xb33	0xb3a
0xb4c	0xb9c
0xba7	0xbe1
0xc47	0xc970xc3d
0xca3	0xc970xca0
0xcde	0x1550
0xcf0	0xd05
0xd51	0xd59
0xd60	0xd6d
0xd7b	0xd83
0xdb6	0xdc0
0xdbc	0xdc3
0xdd5	0xe0f
0xe16	0xe1f
0xe20	0xe5a
0xe5d	0xe68
0xe6d	0xe76
0xe7b	0xe90
0xe7f	0xe8a
0xe96	0xe9b
0xec1	0xefb
0xf11	0xf1b
0xf17	0xf1e
0xf2e	0xf7e
0xf89	0xf90
0xf97	0xfa1
0xfaa	0xfc2
0xfae	0xfb8
0xfbe	0xfc5
0x1016	0x101e
0x1025	0x1032
0x1040	0x1048
0x104b	0x1050
0x10a1	0x10a9
0x10b0	0x10bd
0x10cb	0x10d3
0x10d6	0x10db
0x10de	0x1253
0x1126	0x112e
0x1135	0x1142
0x1150	0x1158
0x11af	0x11b7
0x11be	0x11cb
0x11d9	0x11e1
0x122e	0x1236
0x123d	0x124a
0x124f	0x12cf
0x129a	0x12a2
0x12a9	0x12b6
0x12c4	0x12cc
0x12d4	0x1366
0x12ea	0x12f3
0x1331	0x1339
0x1340	0x134d
0x135b	0x1363
0x136b	0x141b
0x1371	0x137a
0x13c2	0x13ca
0x13d1	0x13de
0x140b	0x1418
0x14e5	0x14f0
0x14ec	0xc9a0x14e1
0x14f8	0x14fd
0x1500	0xc970x14e1
0x1540	0x1549
0x1545	0xc970x2cc
0x1555	0x15dc
0x15e3	0x15e8
0x15f8	0x1632
0x1639	0x1642
0x1643	0x167d
0x167f	0x1688
0x168a	0x168f
0x169b	0xc970x1698
0x16d6	0x1873
0x187b	0x18c5
0x18b2	0x15a10x1698
0x18c1	0x15890x1698
0x1d82	0x1da2
0x1d84	0x1dc6
0x1d86	0x1dc9
0x1d88	0x1dcc
0x1d8a	0x1dcf
0x1d8c	0x1dba
0x1d8e	0x1dbd
0x1d90	0x1dc0
0x1d92	0x1dc3
0x1d94	0x1dae
0x1d96	0x1db1
0x1d98	0x1db4
0x1d9a	0x1db7
0x1d9c	0x1da5
0x1d9e	0x1da8
0x1da0	0x1dab
0xca00x15b1	0x15ce0xca0
0x16980x15b1	0x15ce0x1698
0xca00x159d	0x15890xca0
0x16980x159d	0x15890x1698
0xca00x158e	0x15a10xca0
0x16980x158e	0x15a10x1698
0x1380x61c	0x6290x138
0x1380x60d	0x6150x138
0x1380x5ba	0x5c50x138
0x1380x5a8	0x5b50x138
0x1380x599	0x5a10x138
0x1380x543	0x5490x138
0x1380x53d	0x5470x138
0x1380x525	0x52b0x138
0x1380x51f	0x5290x138
0x1380x4e5	0x4fa0x138
0x1380x4cf	0x4d70x138
0x1380x4b4	0x4c10x138
0x1380x4a5	0x4ad0x138
0x1380x448	0x4520x138
0x1380x43a	0x4410x138
0x1380x424	0x4310x138
0x1380x415	0x41d0x138
0x1380x37d	0x3cd0x138
0x1380x36c	0x3760x138
0x1380x34f	0x3580x138
0x33e0x543V0xfb	0x5490x33eB0xfb
0x33e0x525V0xfb	0x52b0x33eB0xfb
0x34fV0xfb	0x3580x33eB0xfb
0x33e0x36cV0xfb	0x3760x33eB0xfb
0x33e0x37dV0xfb	0x3cd0x33eB0xfb
0x33e0x415V0xfb	0x41d0x33eB0xfb
0x33e0x424V0xfb	0x4310x33eB0xfb
0x33e0x43aV0xfb	0x4410x33eB0xfb
0x33e0x448V0xfb	0x4520x33eB0xfb
0x33e0x4a5V0xfb	0x4ad0x33eB0xfb
0x33e0x4b4V0xfb	0x4c10x33eB0xfb
0x33e0x4cfV0xfb	0x4d70x33eB0xfb
0x33e0x4e5V0xfb	0x4fa0x33eB0xfb
0x33e0x51fV0xfb	0x5290x33eB0xfb
0x33e0x53dV0xfb	0x5470x33eB0xfb
0x33e0x599V0xfb	0x5a10x33eB0xfb
