0xe8	0x00000000
0x107	0x4660cf0
0x138	0xc57af6c
0x166	0x16233cc3
0x17b	0x22d5b25c
0x190	0x249cfad4
0x1a5	0x3023af2d
0x1ba	0x4601723a
0x1ed	0x6180e132
0x232	0x715018a6
0x247	0x8da5cb5b
0x25c	0xbf33a1f5
0x271	0xcc2a9a5b
0x2cc	0xd6b89a03
0x2f6	0xe0af3616
0x30b	0xf2fde38b
