0x1b1	0x2751cec
0x22a	0x54d50d4
0x272	0x18cbafe5
0x367	0x1f00ca74
0x41e	0x2195995c
0x4a9	0x2a2767e5
0x4be	0x38ed1739
0x563	0x485cc955
0x5bf	0x4a25d94a
0x664	0x5b0d5984
0x6e4	0x5c11d795
0x78b	0x791ac947
0x830	0x7ff36ab5
0x8c3	0x85f8c259
0x8f9	0x8803dbee
0x99e	0xad5c4648
0x9dc	0xad615dec
0xa12	0xaf2979eb
0xa72	0xb6f9de95
0xb05	0xbaa2abde
0xb6f	0xc45a0155
0xb84	0xd06ca61f
0xc3b	0xded9382a
0xcbb	0xe8e33700
0xd48	0xf305d719
0xd9b	0xfb3bdb41
0x5c1d	0x00000000
