0xcf	0x00000000
0x14c	0x6fdde03
0x1d6	0xc3e3c58
0x23b	0x313ce567
0x266	0x3659cfe6
0x289	0x46fbf68e
0x2be	0x5c60da1b
0x2ef	0x68f5d173
0x310	0x6b2c0f55
0x331	0x6f741cff
0x346	0x7f5ae339
0x367	0x82dc1ec4
0x388	0x8da5cb5b
0x39d	0x95d89b41
0x3b2	0xde08c364
