0x332	0x2d6	0x31b
0x3c9	0x36d	0x3b2
0x127	0x101_0x0	0x10a
0x478	0x452_0x0	0x45b
0xb96	0x31b	0xb79
0xbfc	0x3b2	0xbde_0x1
