0xfa	0x6fdde03
0x17d	0x95ea7b3
0x1e1	0x18160ddd
0x1ff	0x23b872dd
0x283	0x313ce567
0x2a1	0x504334c2
0x3f3	0x70a08231
0x44b	0x95d89b41
0x4ce	0xa9059cbb
0x532	0xa9ed9cb8
0x58c	0xab033ea9
0x5d0	0xc80ec522
0x5ee	0xdd62ed3e
0x666	0xe1171f46
0x6ca	0xe1c7392a
0x1881	0x00000000
