0xae	0x101d4579
0xe7	0x1315570f
0x11f	0x34aad197
0x195	0x775b9c13
0x23a	0x8da5cb5b
0x242	0xb7b0422d
0x25f	0xc1292cc3
0x267	0xc96679fe
0x28d	0xdaca9edd
0x2b3	0xee8f0b7a
0x2d9	0xfa0fca84
0x865	0x00000000
