0x28f	0xb46	0x2a50x283
0x3fd	0xd33	0x2e01
0x4d1	0x12c0	0x2ea6
0x507	0x138e	0x2efa
0x66c	0x1789	0x2f99
0x783	0x18fd	0x3190
0x868	0x1cae	0x32fb
0xa40	0x138e	0xa7f
0xf5d	0xd33	0xf9c
0x15b5	0x138e	0x15f4
0x1b0e	0xd33	0x1b4d
0x12f7	0x201e	0x35b7
0x17c0	0x2087	0x3601
0x1ce4	0x22a6	0x36fe
0x1f11B0xb03B0x22c	0xd33	0x1f3cB0xb03B0x22c
0x252aB0xb03B0x22c	0xd33	0x2555B0xb03B0x22c
0x2555B0xb03B0x22c	0x138e	0x2580B0xb03B0x22c
0x1feaB0x1020B0x44c	0x138e	0x2015B0x1020B0x44c
0x2636B0x1020B0x44c	0x138e	0x2661B0x1020B0x44c
0x21abB0x1c2cB0x811	0x138e	0x21d6B0x1c2cB0x811
0x27e2B0x1c2cB0x811	0x138e	0x280dB0x1c2cB0x811
0x280dB0x1c2cB0x811	0xd33	0x2838B0x1c2cB0x811
0x2272B0x1c82B0x832	0x138e	0x229dB0x1c82B0x832
0x29b9B0x1c82B0x832	0x138e	0x29e4B0x1c82B0x832
0x29e4B0x1c82B0x832	0x138e	0x2a0fB0x1c82B0x832
0x23acB0x1e75B0x937	0xd33	0x23d7B0x1e75B0x937
0x2ac5B0x1e75B0x937	0xd33	0x2af0B0x1e75B0x937
