0xff8
0x107a
0x1568
0x16aa
0x191b
0x1b18
0x1d7f
0x1da0
0x1e47
0x1f27
0x1f47
0x1f9a
0x2d36
0x300d
0x350c
0x37c1
0x3841
0x3fc6
0x4055
0x407d
0x40a2
0x44a9
0x44c4
0x44d1
