0x2ce
0x301
0x331
0x344
0x393
0x3b3
0x3d3
0x3f3
0x413
0x433
0x487
0x4a7
0x4f0
0x510
0x530
0x550
0x570
0x590
0x5b0
0x5dd
0x724
0x744
0x783
0x7bb
0x7d0
0x7f0
0x810
0x825
0x83a
0x85a
0x878
0x898
0x8de
0x8fe
0x93b
0x95b
0x99f
0x9d1
0x9f1
0xaa5
0xaba
0xada
0xb1a
0xb3a
0xb5a
0x64c6
