0x0	__function_selector__
0x421	isComptroller()
0x43f	_setBorrowPaused(address,bool)
0x452	claimComp(address,address[])
0x467	_become(address)
0x47a	compSpeeds(address)
0x49a	repayBorrowVerify(address,address,address,uint256,uint256)
0x4ad	repayBorrowAllowed(address,address,address,uint256)
0x4c0	pauseGuardian()
0x4d5	pendingAdmin()
0x4dd	_setSeizePaused(bool)
0x4f0	_setCloseFactor(uint256)
0x503	_dropCompMarket(address)
0x516	_setMintPaused(address,bool)
0x529	_mintGuardianPaused()
0x531	mintVerify(address,address,uint256,uint256)
0x544	getBlockNumber()
0x54c	liquidateBorrowVerify(address,address,address,address,uint256,uint256)
0x55f	liquidationIncentiveMantissa()
0x567	refreshCompSpeeds()
0x56f	getHypotheticalAccountLiquidity(address,address,uint256,uint256)
0x591	mintAllowed(address,address,uint256)
0x5a4	_setLiquidationIncentive(uint256)
0x5b7	redeemVerify(address,address,uint256,uint256)
0x5ca	allMarkets(uint256)
0x5ea	_setPriceOracle(address)
0x5fd	borrowVerify(address,address,uint256)
0x610	getAccountLiquidity(address)
0x623	_setPauseGuardian(address)
0x636	liquidateBorrowAllowed(address,address,address,address,uint256)
0x649	claimComp(address[],address[],bool,bool)
0x65c	_setCompRate(uint256)
0x66f	transferVerify(address,address,address,uint256)
0x67d	compSupplyState(address)
0x69e	borrowGuardianPaused(address)
0x6b1	seizeVerify(address,address,address,address,uint256)
0x6bf	mintGuardianPaused(address)
0x6d2	compClaimThreshold()
0x6da	oracle()
0x6e2	transferGuardianPaused()
0x6ea	compBorrowState(address)
0x6fd	markets(address)
0x71f	_setTransferPaused(bool)
0x732	checkMembership(address,address)
0x745	maxAssets()
0x74d	getCompAddress()
0x755	_supportMarket(address)
0x768	compInitialIndex()
0x77d	compRate()
0x785	getAssetsIn(address)
0x7a5	seizeGuardianPaused()
0x7ad	getAllMarkets()
0x7b5	compSupplierIndex(address,address)
0x7c8	comptrollerImplementation()
0x7d0	transferAllowed(address,address,address,uint256)
0x7e3	enterMarkets(address[])
0x803	liquidateCalculateSeizeTokens(address,address,uint256)
0x824	compBorrowerIndex(address,address)
0x837	compAccrued(address)
0x84a	_addCompMarkets(address[])
0x85d	seizeAllowed(address,address,address,address,uint256)
0x870	_setMaxAssets(uint256)
0x883	borrowAllowed(address,address,uint256)
0x896	accountAssets(address,uint256)
0x8a9	pendingComptrollerImplementation()
0x8b1	_setCollateralFactor(address,uint256)
0x8c4	_borrowGuardianPaused()
0x8cc	closeFactorMantissa()
0x8d4	claimComp(address)
0x8e7	redeemAllowed(address,address,uint256)
0x8fa	exitMarket(address)
0x90d	admin()
0x91a	0x91a
0xa38	0xa38
0xa9a	0xa9a
0xbe7	0xbe7
0xcda	0xcda
0xdaa	0xdaa
0xeb9	0xeb9
0xf77	0xf77
0x1091	0x1091
0x10a4	0x10a4
0x10cd	0x10cd
0x1107	0x1107
0x118c	0x118c
0x1270	0x1270
0x12c2	0x12c2
0x1345	0x1345
0x134a	0x134a
0x137f	0x137f
0x13f3	0x13f3
0x1572	0x1572
0x16fa	0x16fa
0x1826	0x1826
0x191f	0x191f
0x1937	0x1937
0x1ab5	0x1ab5
0x1b4e	0x1b4e
0x1bdc	0x1bdc
0x1c46	0x1c46
0x1cdd	0x1cdd
0x1f93	0x1f93
0x1ff0	0x1ff0
0x2197	0x2197
0x21f0	0x21f0
0x24da	0x24da
0x2695	0x2695
0x26f9	0x26f9
0x2736	0x2736
0x2a1e	0x2a1e
0x2cb2	0x2cb2
0x2e96	0x2e96
0x2efe	0x2efe
0x2f05	0x2f05
0x32ea	0x32ea
0x36f7	0x36f7
0x3981	0x3981
0x3b72	0x3b72
0x3b92	0x3b92
0x3be6	0x3be6
0x3cc1	0x3cc1
0x3d64	0x3d64
0x3e86	0x3e86
0x3ec1	0x3ec1
0x417f	0x417f
0x41de	0x41de
0x4236	0x4236
0x4278	0x4278
0x42b6	0x42b6
0x42db	0x42db
0x430a	0x430a
