0xda	0x322	0x11d	0x11d
0x12b	0x34a	0x140	0x140
0x160	0x3af	0x169	0x169
0x191	0x3be	0x19d	0x19d
0x1bb	0x3d0	0x140	0x140
0x1dc	0x420	0x140	0x140
0x1fd	0x4fa	0x169	0x169
0x212	0x509	0x140	0x140
0x233	0x526	0x169	0x169
0x248	0x535	0x140	0x140
0x269	0x678	0x272	0x272
0x2ce	0x71b	0x169	0x169
0x2e3	0x72a	0x19d	0x19d
0x2f8	0x730	0x169	0x169
0x30d	0x73f	0x140	0x140
0x440	0x509	0x449	0x449
0x557	0x509	0x560	0x560
0x5d4	0x78d	0x61d	0x61d
0x79b	0x7b6	0x7b1	0x7b1
