0xb59	0xcf
0xb5c	0x11f
0xb5f	0x154
0xb62	0x185
0xb65	0x1af
0xb68	0x1d0
0xb6b	0x1f1
0xb6e	0x206
0xb71	0x227
0xb74	0x23c
0xb77	0x25d
0xb7a	0x2c2
0xb7d	0x2d7
0xb80	0x2ec
0xb83	0x301
