0xef
0x1d6
0x440
0xa34
0xaad
0xac3
0xcd3
0x1073
0x10d9
0x12f5
0x1679
0x1814
0x1817
0x181a
0x181d
0x1820
0x1823
0x1826
0x1829
0x182c
0x182f
0x1832
0x1835
0x1838
0x183b
0x183e
