0xef	0x6fdde03
0x172	0x95ea7b3
0x1d6	0x18160ddd
0x1f4	0x23b872dd
0x278	0x313ce567
0x296	0x504334c2
0x3e8	0x70a08231
0x440	0x95d89b41
0x4c3	0xa9059cbb
0x527	0xa9ed9cb8
0x581	0xab033ea9
0x5c5	0xc80ec522
0x5e3	0xdd62ed3e
0x65b	0xe1c7392a
0x16e1	0x00000000
