0x191	0xf2d0bfc
0x1d7	0x1043a489
0x20f	0x13d5ef98
0x25b	0x158ef93e
0x284	0x1ac601d4
0x2b0	0x1ebeef89
0x2c5	0x21dadb75
0x2da	0x220cce97
0x2ef	0x36f44758
0x31b	0x3a0e6d43
0x377	0x4390d2a8
0x38c	0x46951954
0x3bf	0x52d1902d
0x3e6	0x530ee1dd
0x42b	0x837d64e8
0x45e	0x83f3084f
0x473	0x885d5a8c
0x4a6	0x8da5cb5b
0x4bb	0x9b19251a
0x4ee	0xb39e12cf
0x503	0xbd097e21
0x518	0xbf989b6e
0x563	0xd0a43afd
0x596	0xdaba459e
0x5ab	0xe03aefc2
0x5de	0xfd6aa77f
0x258c	0x00000000
