0xc4	getNodeOperatorsCount()
0x297	balances(uint256)
0x2e0	balances(uint256)
0x356	balances(uint256)
0x39f	balances(uint256)
0xaf80x13bc	getPoolTokens(bytes32)
0xaf80x13bf	getPoolTokens(bytes32)
0x8ea0x13ad	last_liquidation_time()
0x8ea0x13b0	last_liquidation_time()
0x8490x13a7	getLastCompletedEpochId()
0x8490x13aa	getLastCompletedEpochId()
0x8490x13b3	getLastCompletedEpochId()
0x7a90x13a7	getBeaconSpec()
0x7a90x13aa	getBeaconSpec()
0x7a90x13b3	getBeaconSpec()
0x60d0x13a1	getNodeOperator(uint256,bool)
0x60d0x13a4	getNodeOperator(uint256,bool)
