0x5ac0x13a1
0x5ac0x13a4
0x6e30x13a1
0x6f70x13a1
0x6e30x13a4
0x6f70x13a4
0x8030x13a7
0x8030x13aa
0x8030x13b3
0xb2b0x13bc
0xb2b0x13bf
0xc010x13bc
0xc0a0x13bc
0xc010x13bf
0xc0a0x13bf
0xc390x13bc
0xc390x13bf
