0x139b	0xe9333fab
0x139e	0x41c0e1b5
0x13a1	0xc7d4c1c7
0x13a4	0xb9d44575
0x13a7	0x8b280b69
0x13aa	0xa446289b
0x13ad	0xb7902f13
0x13b0	0xcc074ead
0x13b3	0xd9bf5e14
0x13b6	0x67ab8e80
0x13b9	0x183988cd
0x13bc	0xe13cf4b7
0x13bf	0xb774f5e9
0x13c2	0xf851a440
