0x1445	0x120b	0x1425
0x182d	0x15f3	0x180d
0x4284B0x4212B0x409cB0x3c27B0x3699	0x3c30V0x3699	0x4267V0x4212V0x409cV0x3c27V0x3699
0x4284B0x4212B0x409cB0x3c27B0x33e50x537	0x3c30V0x33e50x537	0x4267V0x4212V0x409cV0x3c27V0x33e50x537
0x4284B0x4212B0x409cB0x3c27B0x33e50x589	0x3c30V0x33e50x589	0x4267V0x4212V0x409cV0x3c27V0x33e50x589
0x4284B0x4212B0x409cB0x3c27B0x33e50x731	0x3c30V0x33e50x731	0x4267V0x4212V0x409cV0x3c27V0x33e50x731
0x4284B0x4212B0x409cB0x3c27B0x33e50x7fa	0x3c30V0x33e50x7fa	0x4267V0x4212V0x409cV0x3c27V0x33e50x7fa
0x4284B0x4212B0x409cB0x3c27B0x3357B0xb8e	0x3c30V0x3357B0xb8e	0x4267V0x4212V0x409cV0x3c27V0x3357B0xb8e
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x1999	0x3c30V0x33e5B0x1999	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x1999
0x4284B0x4212B0x409cB0x3c27B0x33e50x1a44B0x19b8	0x3c30V0x33e50x1a44B0x19b8	0x4267V0x4212V0x409cV0x3c27V0x33e50x1a44B0x19b8
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x19cc	0x3c30V0x33e5B0x19cc	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x19cc
0x4284B0x4212B0x409cB0x3c27B0x33e50x1a44B0x19ee	0x3c30V0x33e50x1a44B0x19ee	0x4267V0x4212V0x409cV0x3c27V0x33e50x1a44B0x19ee
0x4284B0x4212B0x409cB0x3c27B0x3357B0x1f6c	0x3c30V0x3357B0x1f6c	0x4267V0x4212V0x409cV0x3c27V0x3357B0x1f6c
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x223c	0x3c30V0x33e5B0x223c	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x223c
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x26de	0x3c30V0x33e5B0x26de	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x26de
0x4284B0x4212B0x409cB0x3c27B0x3357B0x2b8f	0x3c30V0x3357B0x2b8f	0x4267V0x4212V0x409cV0x3c27V0x3357B0x2b8f
0x4284B0x4212B0x409cB0x3c27B0x3357B0x2d11	0x3c30V0x3357B0x2d11	0x4267V0x4212V0x409cV0x3c27V0x3357B0x2d11
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x3b4c	0x3c30V0x33e5B0x3b4c	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x3b4c
0x4284B0x4212B0x409cB0x3c27B0x33e5B0x3b82	0x3c30V0x33e5B0x3b82	0x4267V0x4212V0x409cV0x3c27V0x33e5B0x3b82
