0xc05	feesPpm()
0xcad	feesTo()
0xfb0	token0()
0x1040	token1()
0x1151	removeLiquidity(address,address,uint256,uint256,uint256,address,uint256)
0x128b	token0()
0x1331	token1()
0x1489	swapExactTokensForTokens(uint256,uint256,address[],address,uint256)
0x1673	token1()
0x1719	token0()
0x1871	swapExactTokensForTokens(uint256,uint256,address[],address,uint256)
0x1d87	token0()
0x1e95	token1()
0x210c	getPoolSupply(address)
0x25cd	feesTo()
0x28df	getPoolSupply(address)
0x2a01	token0()
0x2ac2	token0()
0x2b68	token1()
0x2c3b	token0()
0x2cea	token1()
0x2ede	feesTo()
0x3633	allowance(address,address)
0x3b01	addLiquidity(address,address,uint256,uint256,uint256,uint256,address,uint256)
0x3d1f	getReserves()
0x3d95	getReserves()
0x3e5e	getReserves()
0x34df0x554	notifyWithdraw(address,uint256)
0x34df0x7fa	notifyDeposit(address,uint256)
0x9220x3f5	getUserAmount(address,address)
0x9220x8ad	getUserAmount(address,address)
0x34df0x3465S0xcef	notifyDeposit(address,uint256)
0x34df0x11a2S0x11a8	notifyWithdraw(address,uint256)
0x34df0x3719S0x2212	notifyWithdraw(address,uint256)
0x34df0x306eS0x3074	notifyDeposit(address,uint256)
0x41ddS0x409cS0x3c27S0x3699	approve(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x537	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x589	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x731	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x7fa	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x3357B0xb8e	transferFrom(address,address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x1999	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x1a44B0x19b8	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x19cc	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e50x1a44B0x19ee	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x3357B0x1f6c	transferFrom(address,address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x223c	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x26de	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x3357B0x2b8f	transferFrom(address,address,uint256)
0x41ddS0x409cS0x3c27S0x3357B0x2d11	transferFrom(address,address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x3b4c	transfer(address,uint256)
0x41ddS0x409cS0x3c27S0x33e5B0x3b82	transfer(address,uint256)
