0x9650x2bc	0x919	0x948
0x9650x2ea	0xaa4	0xada
0x9650x310	0xdc4	0xdfa
0x9650x33c	0xf42	0xf78
0x9650x396	0x170a	0x1740
0x9650x479	0x1dc4	0x1dfa
0x9650x4f4	0x1f8b	0x1fc1
0x9650x520	0x21b0	0x21e6
0x9650x574	0x22c9	0x22ff
0x9650x5e5	0x23e5	0x241b
0x9650x60b	0x24dc	0x2512
0x9650x639	0x28a8	0x28de
0x9650x67c	0x2b9e	0x2bd4
0x9650x6a2	0x2c80	0x2cb6
0x9650x6bf	0x2fee	0x3024
0x9650x329d	0x32a4	0x32fc
0x9650x3940	0x394a	0x417d
0x9650x3982	0x398c	0x41e5
