0xcc6
0x13a3
0x13f8
0x1464
0x14f4
0x1539
0x19a5
0x20bd
0x26fa
0x27c5
0x2ec3
0x3085
0x3fda
0x3ff0
0x4007
0x4027
0x4093
0x411e
