0x0	0xc
0x1a	0x2b
0x868	0x880
0x8df	0x8ea
0x935	0x9650x2bc
0xac0	0xaf7
0xc3d	0xc90
0xde0	0xe17
0xf5e	0xf95
0x137d	0x13a2
0x1726	0x175d
0x17dc	0x1813
0x18c9	0x1900
0x1a8c	0x1ac3
0x1b5e	0x1b95
0x1d1e	0x1d36
0x1d4a	0x1d55
0x1de0	0x1e17
0x1fa7	0x1fde
0x21cc	0x2203
0x22e5	0x231c
0x2401	0x2438
0x24f8	0x252f
0x28c4	0x28fb
0x2bba	0x2bf1
0x2c9c	0x2cd3
0x300a	0x3041
0x3263	0x3273
0x32e2	0x3319
0x37dd	0x3807
0x3af8	0x3b22
0x3b3f	0x3b68
0x3f3b	0x3f60
0x4163	0x419a
0x41cb	0x4202
0x10	0x1a
0x130	0x13c
0xb8	0xc4
0x7c	0x88
0xff	0x10b
0x1be	0x1ca
0x182	0x18e
0x205	0x210
0x794	0x7a7
0x8f0	0x902
0x1c4a	0x1c5d
0x6ed	0x711
0x711	0x71a
0x329d	0x32e2
0x7f3	0x804
0xe5	0xf0
0x80c	0x812
0x81a	0x81f
0x855	0x868
0x332e	0x3363
0x33fb	0x344a
0x8d2	0x8df
0x352a	0x3579
0x916	0x935
0x9b8	0x9e4
0x41	0x4c
0xa77	0xac0
0xb7c	0xb82
0x3730	0x377e
0xbb8	0xc12
0xc16	0xc21
0xc38	0xc3d
0x37b5	0x37b9
0xd5b	0xd8d
0xdc1	0xde0
0xe26	0xe70
0xe74	0xe7f
0xe88	0xef7
0xf15	0xf5e
0xfa4	0xffa
0xffe	0x1009
0x1012	0x1024
0x1028	0x1035
0x106b	0x10b3
0x10b7	0x10c2
0x10cb	0x10dd
0x10e1	0x10ec
0x115c	0x11b0
0x1143	0x114e
0x1157	0x115c
0x11b4	0x11bf
0x11c8	0x11da
0x11de	0x11e8
0x121e	0x127a
0x127e	0x1289
0x1292	0x12ea
0x12ee	0x12f9
0x1302	0x1314
0x1318	0x1359
0x38e7	0x38ef
0x1514	0x1539
0x1591	0x1594
0x1359	0x137d
0x162b	0x1676
0x167a	0x1685
0x16dd	0x1726
0x17a8	0x17dc
0x1822	0x1870
0x1874	0x187f
0x1888	0x189a
0x189e	0x18c9
0x196a	0x196f
0x3a0d	0x3a32
0x1a47	0x1a59
0x1a6d	0x1a8c
0x1ad2	0x1aff
0x1b3f	0x1b5e
0x1ca9	0x1cba
0x1cc2	0x1cc8
0x1cd0	0x1cd5
0x1d0b	0x1d1e
0x1d36	0x1d4a
0x1d97	0x1de0
0x36	0x41
0x1ef9	0x1f02
0x4c	0x57
0x1f41	0x1f47
0x1f88	0x1fa7
0x1ff7	0x1ffd
0x2033	0x2062
0x2b	0x36
0x57	0x62
0x2183	0x21cc
0x229c	0x22e5
0x23b8	0x2401
0x24b3	0x24c5
0x24d9	0x24f8
0x253e	0x256a
0x25a0	0x25ce
0x2604	0x2635
0x266b	0x26e2
0x26e6	0x26f1
0x2797	0x279e
0x27bf	0x27c5
0x3ad1	0x3ad4
0x287b	0x28c4
0x297e	0x2992
0x3c00	0x3c5a
0x299c	0x29da
0x29de	0x29e9
0x29f2	0x2a04
0x3f13	0x3f17
0x2aa8	0x2aaf
0x2ae5	0x2b41
0x2b45	0x2b50
0x2b71	0x2bba
0x2c53	0x2c9c
0x2d46	0x2d4b
0x2d81	0x2da5
0x2dff	0x2e05
0x2e3b	0x2eab
0x2eaf	0x2eba
0x2f57	0x2f89
0x2fbd	0x2fc3
0x2feb	0x300a
0x3050	0x307c
0x30c0	0x314e
0x3152	0x315d
0x3166	0x3178
0x317c	0x31d1
0x31d5	0x31e0
0x3226	0x3263
0x3273	0x3291
0x3367	0x3372
0x337b	0x338d
0x3391	0x339d
0x344e	0x3459
0x3462	0x3474
0x3478	0x34b6
0x34ba	0x34c5
0x34ce	0x34e0
0x34e4	0x34ee
0xc4	0xcf
0x357d	0x3588
0x3591	0x35a3
0x35a7	0x35e5
0x35e9	0x35f4
0x35fd	0x360f
0x3613	0x361d
0x3782	0x378d
0x3796	0x37a8
0x3808	0x3824
0x37b9	0x37dd
0x38f6	0x3902
0x3903	0x390a
0x415a	0x4163
0x41bf	0x41cb
0x3a51	0x3a58
0x3b23	0x3b3f
0x3b69	0x3ba2
0x3ad4	0x3af8
0x3c5e	0x3c69
0x3c72	0x3c84
0x3cba	0x3d11
0x3d15	0x3d20
0x3d29	0x3d3b
