0x105	0xb66f3f5
0x194	0x158ef93e
0x1bd	0x2f781393
0x1d5	0x4e71e0c8
0x1ea	0x54fd4d50
0x274	0x591552da
0x2a7	0x5c60da1b
0x2d8	0x69fe0e2d
0x2f0	0x6fde8202
0x305	0x8da5cb5b
0x31a	0xab883d28
0x39b	0xb4ae641c
0x3b0	0xc1258f69
0x3d1	0xc4d66de8
0x3f2	0xddca3f43
0x407	0xdf8de3e7
0x428	0xe30c3978
0x43d	0xe4e1f29b
0x452	0xee8a0a30
0x46a	0xeff8e748
0x48b	0xf2fde38b
0x13c3	0x00000000
