0x4ac	0x676
0x67e	0x67e
0x6c2	0x6ea
0x85d	0x8e8
0x8f2	0x936
0x94a	0x972
0x9c3	0x9c3
0xa0f	0xb2d
0xb70	0xbe5
0xc25	0xcc3
0xd93	0xd93
0xdd6	0xfca
0xfcf	0xfcf
0x1019	0x1019
0x105a	0x1082
0x10c2	0x10e8
0x11a5	0x1242
0x85d	0x176e
0x85d	0x1797
0x118b	0x119e0x118b
0x134d	0x119e0x134d
0x1284	0x12900x1284
