0x4c5	0x4ce
0x505	0x5d6
0x7ab	0x7d5
0x17a	0xa68
0x3c4	0xaf4
0x3fa	0xb1a
0x674	0xb3b
0x6c4	0xb61
0x3f0	0x3f50x3f0
0x6ad	0x3f50x6ad
0x138	0xa240x138
0x265	0xa240x265
0x1ff	0xab00x1ff
0x37e	0xab00x37e
