0x67b	0x623	0x661
0xac4	0xa69	0xaad
0x9b5	0x29c7	0x995
0x9f4	0x2a0b	0x9d4
0x2d80	0xaad	0x2d59
0x4ad4B0x4920B0x45d7B0x413b	0x45e0V0x413b	0x4ab7V0x4920V0x45d7V0x413b
0x4ad4B0x4920B0x45d7B0x3cdaB0x1470	0x45e0V0x3cdaB0x1470	0x4ab7V0x4920V0x45d7V0x3cdaB0x1470
0x4ad4B0x4920B0x45d7B0x418dB0x1f3e	0x45e0V0x418dB0x1f3e	0x4ab7V0x4920V0x45d7V0x418dB0x1f3e
0x4ad4B0x4920B0x45d7B0x3cdaB0x2204	0x45e0V0x3cdaB0x2204	0x4ab7V0x4920V0x45d7V0x3cdaB0x2204
0x4ad4B0x4920B0x45d7B0x418dB0x4702B0x3d8f	0x45e0V0x418dB0x4702B0x3d8f	0x4ab7V0x4920V0x45d7V0x418dB0x4702B0x3d8f
