0x11	0x252	0x34	0x34
0xc5	0x2ea	0xe0	0xe0
0xe0	0x2ea	0xee	0xee
0xfb	0x30a	0x10b	0x10b
0x10b	0x2ea	0x11b	0x11b
0x11b	0x2ea	0x129	0x129
0x129	0x326	0x139	0x139
0x268	0x23a	0x275	0x275
0x275	0x23a	0x288	0x288
0x288	0x23a	0x2a2	0x2a2
0x2a2	0x23a	0x2b5	0x2b5
0x2b5	0x23a	0x65c1	0x65c1
0x317	0x655b	0x6613	0x6613
0x333	0x658e	0x665d	0x665d
