0x2d3c
0x2d4a
0x32ef0x61f
0x32ef0x79e
0x32e90x61f
0x32e90x79e
0x32e40x61f
0x32e40x79e
0x32d00x61f
0x32d00x79e
0x2e710x61f
0x2e710x79e
0x3c2eS0x394eS0x2c8f
0x3c2eS0x394eS0x2e7c
0x3834S0x2d43
0x324eS0x2c19
0x325cS0x2c19
0x3c2eS0x394eS0x3199S0x2c19
0x3834S0x3255S0x2c19
