0x1a	0x14f
0x25	0xc1
0x30	0x7a
0xc9	0x113
0x157	0x1f3
0x162	0x1ac
0x1fb	0x245
0x286	0x28e
0x293	0x2a20x282
0x2c3	0x2cb
0x2d0	0x42fa
0x2f4	0x2fc
0x2fe	0x4329
0x318	0x320
0x322	0x2a20x314
0x325	0x8e1
0x32d	0x335
0x337	0x4356
0x33a	0x344
0x345	0x97a
0x34f	0x357
0x359	0x2a20x34b
0x35c	0x366
0x390	0x398
0x39a	0x4377
0x39d	0x3a7
0x3b0	0x3b8
0x3ba	0x4398
0x3bd	0x3c7
0x3d0	0x3d8
0x3da	0x419
0x3dd	0x3e7
0x434	0x2b60x3cc
0x43c	0x444
0x449	0x2a20x438
0x45c	0x464
0x466	0x43b9
0x471	0x479
0x47b	0x43e6
0x47e	0x488
0x489	0xbf5
0x491	0x499
0x49e	0x2a20x48d
0x4b1	0x4b9
0x4bb	0x4407
0x4c4	0x4434
0x4c7	0x4d1
0x4d2	0xd01
0x4d7	0x4455
0x4da	0x4e4
0x4e0	0x3508
0x4e5	0xe0f
0x4ed	0x4f5
0x4f7	0x4476
0x503	0x50b
0x510	0x2a20x4ff
0x520	0x44a3
0x523	0x52d
0x529	0x37ed
0x52e	0xf31
0x536	0x53e
0x540	0x44c4
0x543	0x54d
0x556	0x55e
0x560	0x44e5
0x563	0x56d
0x576	0x57e
0x580	0x4506
0x58b	0x593
0x595	0x4527
0x5a0	0x5a8
0x5aa	0x4548
0x5ad	0x5b7
0x5c0	0x5c8
0x5ca	0x4569
0x5cd	0x5d7
0x5f0	0x5f8
0x606	0x2a20x5ec
0x60e	0x616
0x618	0x4598
0x623	0x62b
0x62d	0x45b9
0x630	0x63a
0x63b	0x1453
0x643	0x64b
0x64d	0x45da
0x650	0x65a
0x663	0x66b
0x66d	0x45fb
0x670	0x67a
0x67b	0x193c
0x683	0x68b
0x68d	0x461c
0x699	0x6a1
0x6a3	0x4649
0x6a6	0x6b0
0x6b1	0x19c5
0x6b9	0x6c1
0x6c3	0x466a
0x6c6	0x6d0
0x6cc	0x374c
0x6d1	0x1b61
0x6d9	0x6e1
0x6e3	0x468b
0x6e6	0x6f0
0x6f1	0x1ee6
0x6f9	0x701
0x703	0x70a
0x70e	0x2b60x6f5
0x71b	0x723
0x725	0x72c
0x745	0x2b60x717
0x74d	0x755
0x757	0x46ac
0x75a	0x764
0x760	0x3722
0x765	0x20b6
0x76d	0x775
0x777	0x46cd
0x782	0x78a
0x78c	0x46ee
0x78f	0x799
0x7a2	0x7aa
0x7ac	0x470f
0x7af	0x7b9
0x7ba	0x228e
0x7c2	0x7ca
0x7cc	0x4730
0x7cf	0x7d9
0x7d5	0x3892
0x7fd	0x805
0x807	0x475f
0x80a	0x814
0x82a	0x832
0x837	0x2a20x826
0x84a	0x852
0x854	0x478c
0x857	0x861
0x862	0x2818
0x86a	0x872
0x874	0x47ad
0x877	0x881
0x88a	0x892
0x897	0x8b9
0x8dd	0x2b60x886
0x91b	0x92d
0x92e	0x974
0x97c	0x98d
0x998	0x9b3
0x9ab	0x47ce
0xc04	0xc4f
0xc4b	0x3d78
0xc5a	0xca5
0xca1	0x3da0
0xd10	0xd2b
0xd23	0x48be
0xd33	0xd4e
0xd46	0x48e6
0xd59	0xda4
0xda0	0x3dc8
0xda7	0xdb1
0xdf1	0xdfe
0xe1e	0xe39
0xe31	0x490e
0xe41	0xe5c
0xe54	0x4936
0xe67	0xeb2
0xeae	0x3df0
0xeb5	0xebf
0xefd	0xf22
0xf40	0xf5b
0xf53	0x495e
0xf5e	0xf68
0x1462	0x147d
0x1475	0x4ac6
0x149c	0x14e7
0x14e3	0x3e18
0x1531	0x154c
0x1544	0x4aee
0x15df	0x15e7
0x15f5	0x1697
0x15fb	0x161d
0x1605	0x4b16
0x160c	0x3e40
0x1636	0x163e
0x1661	0x166a
0x166c	0x1681
0x1675	0x167d
0x1687	0x168f
0x1693	0x15ef
0x169f	0x16e4
0x16e0	0x3e75
0x16f0	0x170b
0x1703	0x4b6e
0x1719	0x1734
0x171d	0x172f
0x1730	0x17e7
0x173b	0x17a5
0x1780	0x1788
0x178f	0x179c
0x17a1	0x17e7
