0x3f	0x440x0
0xb5	0xbd
0xbf	0xc6
0xca	0xd3
0xe0	0xe8
0xea	0x103
0xf5	0xfe
0x109	0x111
0x113	0x11a
0x11e	0x127
0x134	0x13c
0x13e	0x157
0x149	0x152
0x153	0x200
0x201	0x208
0x237	0x23f
0x271	0x279
0x27a	0x282
0x27e	0x35a
0x2a4	0x2ab
0x2b0	0x2ba
0x4c2	0x4cc
0x4c4	0x4cf
0x4c6	0x4d2
0x4c8	0x4d5
0x4ca	0x4d8
0x00xa6	0xad0x0
0x430xa6	0xad0x43
0x00x82	0x8a0x0
0x430x82	0x8a0x43
0x00x47	0x4e0x0
0x430x47	0x4e0x43
0x1b6V0xfe	0x1bdB0xfe
0x1ecV0xfe	0x1f4B0xfe
0x1f5V0xfe	0x1fdB0xfe
0x1f9V0xfe	0x2c5B0xfe
0x2c8V0xfe	0x2cfB0xfe
0x302V0xfe	0x30aB0xfe
0x30bV0xfe	0x313B0xfe
0x30fV0xfe	0x386B0xfe
0x408V0xc6	0x414B0xc6
0x3f1V0x3ffV0xc6	0x3f9B0x3ffB0xc6
0x446V0x3f0V0x3ffV0xc6	0x44eB0x3f0B0x3ffB0xc6
0x44aV0x3f0V0x3ffV0xc6	0x455B0x3f0B0x3ffB0xc6
0x408V0x11a	0x414B0x11a
0x3f1V0x3ffV0x11a	0x3f9B0x3ffB0x11a
0x446V0x3f0V0x3ffV0x11a	0x44eB0x3f0B0x3ffB0x11a
0x44aV0x3f0V0x3ffV0x11a	0x455B0x3f0B0x3ffB0x11a
0x423V0x2ab	0x42fB0x2ab
0x430V0x2ab	0x43cB0x2ab
0x3f1V0x41aV0x2ab	0x3f9B0x41aB0x2ab
0x446V0x3f0V0x41aV0x2ab	0x44eB0x3f0B0x41aB0x2ab
0x44aV0x3f0V0x41aV0x2ab	0x455B0x3f0B0x41aB0x2ab
0x3f1V0x42fV0x2ab	0x3f9B0x42fB0x2ab
0x446V0x3f0V0x42fV0x2ab	0x44eB0x3f0B0x42fB0x2ab
0x44aV0x3f0V0x42fV0x2ab	0x455B0x3f0B0x42fB0x2ab
0x3d1V0xe8	0x3d9B0xe8
0x3dcV0xe8	0x3e7B0xe8
0x3b9V0x3d9V0xe8	0x3c1B0x3d9B0xe8
0x476V0x3b2V0x3d9V0xe8	0x47eB0x3b2B0x3d9B0xe8
0x481V0x3b2V0x3d9V0xe8	0x489B0x3b2B0x3d9B0xe8
0x446V0x475V0x3b2V0x3d9V0xe8	0x44eB0x475B0x3b2B0x3d9B0xe8
0x44aV0x475V0x3b2V0x3d9V0xe8	0x455B0x475B0x3b2B0x3d9B0xe8
0x3d1V0x13c	0x3d9B0x13c
0x3dcV0x13c	0x3e7B0x13c
0x3b9V0x3d9V0x13c	0x3c1B0x3d9B0x13c
0x476V0x3b2V0x3d9V0x13c	0x47eB0x3b2B0x3d9B0x13c
0x481V0x3b2V0x3d9V0x13c	0x489B0x3b2B0x3d9B0x13c
0x446V0x475V0x3b2V0x3d9V0x13c	0x44eB0x475B0x3b2B0x3d9B0x13c
0x44aV0x475V0x3b2V0x3d9V0x13c	0x455B0x475B0x3b2B0x3d9B0x13c
