0xaae
0xfc5
0xfe0
0x1009
0x1035
0x104d
0x1097
0x10b2
0x10db
0x1107
0x111f
0x194a
0x1950
0x195c
0x1962
0x1984
0x19b3
0x19f0
0x1ee4
0x1f10
0x1465S0xa8b
