0x9e1	0x9ed
0x113a	0x113a
0x1175	0x1175
0x1179	0x11ae
0x12f9	0x13fe
0x1538	0x1547
0x15d0	0x16a2
0x18f0	0x1a37
0x1a58	0x1a58
0x1e19	0x1e49
0x653	0x26f6
0x653	0x271f
0xbf7	0x2865
0xbf7	0x288e
0xcc0	0x28dc
0xcc0	0x2905
0x1168	0x299b
0x11e7	0x29c0
0x124a	0x29e4
0x1255	0x2a09
0x1255	0x2a30
0x2a57	0x2a57
0x1451	0x2a7b
0x2a9e	0x2a9e
0x1554	0x2ac2
0x157e	0x2ae5
0x15d0	0x2b0a
0x174d	0x2b2e
0x18f0	0x2b52
0x1a70	0x2b79
0x1b36	0x2bc3
0x1b36	0x2be8
0x1b80	0x2c0d
0x1b80	0x2c33
0x2c59	0x2c59
0x1d45	0x2c7d
0x1e19	0x2ca2
0x1fc9	0x2cf0
0x2055	0x2d13
0x2055	0x2d35
0x653	0x6df0x653
0xbf7	0x6df0xbf7
0xcc0	0x6df0xcc0
0x1445	0xa6e0x1445
0x16ab	0xa6e0x16ab
0x16bb	0xa6e0x16bb
0x16c7	0xa6e0x16c7
0x179f	0xa6e0x179f
0x1567	0x15770x1567
0x16d3	0x15770x16d3
0xbcf	0x28400xbcf
0xe26	0x292e0xe26
0x1a70	0x2b9e0x1a70
0x1d45	0x2b9e0x1d45
0x2095	0x2d570x2095
