0x0	0xd
0x6e	0x9c
0xdb	0xe7
0x10f	0x12a
0x14c	0x151
0x151	0x15c
0x160	0x162
0x196	0x1c4
0x225	0x22b
0x509	0x515
0x592B0x3e9B0xe7	0x598B0x3e9B0xe7
0x568B0x3e9B0xe7	0x56bB0x3e9B0xe7
0x588B0x3e9B0xe7	0x592B0x3e9B0xe7
0x56bB0x3e9B0xe7	0x575B0x3e9B0xe7
0x361B0x11	0x373B0x11
0x39aB0x11	0x3b4B0x11
0x69dB0x31dB0x377B0x11	0x6a5B0x31dB0x377B0x11
0x69dB0x31dB0x387B0x11	0x6a5B0x31dB0x387B0x11
0x334B0x3b8B0x11	0x342B0x3b8B0x11
0x2efB0x346B0x3b8B0x11	0x304B0x346B0x3b8B0x11
0x492B0x346B0x3b8B0x11	0x4a6B0x346B0x3b8B0x11
0x592B0x308B0x346B0x3b8B0x11	0x598B0x308B0x346B0x3b8B0x11
0x568B0x308B0x346B0x3b8B0x11	0x56bB0x308B0x346B0x3b8B0x11
0x588B0x308B0x346B0x3b8B0x11	0x592B0x308B0x346B0x3b8B0x11
0x56bB0x308B0x346B0x3b8B0x11	0x575B0x308B0x346B0x3b8B0x11
0x5a9B0x2e9B0x346B0x3b8B0x11	0x5c1B0x2e9B0x346B0x3b8B0x11
