0x71	0x1f90x6d
0x7b	0x83
0x85	0xb8
0xbb	0x106
0x10c	0x114
0x116	0x11d
0x163	0x16b
0x16d	0x1a0
0x1a6	0x1ae
0x1b0	0x1b7
0x308	0x30f
0x33f	0x351
0x343	0x34a
0x34d	0x35a
0x355	0x1f90x305
0x51e	0x525
0x555	0x567
0x559	0x560
0x563	0x570
0x56b	0x1f90x51b
0x574	0x57b
0x5ad	0x644
0x645	0x64c
0x6d7	0x6df
0x6db	0x756
0x759	0x761
0x75d	0x828
0x764	0x7fb
0x867	0x873
0x869	0x876
0x86b	0x879
0x86d	0x87c
0x86f	0x87f
0x871	0x882
0x6d0x698	0x6a00x6d
0x3050x698	0x6a00x305
0x51b0x698	0x6a00x51b
0x6d0x20d	0x67f0x6d
0x3050x20d	0x67f0x305
0x51b0x20d	0x67f0x51b
0x6d0x205	0x20c0x6d
0x3050x205	0x20c0x305
0x51b0x205	0x20c0x51b
0x6d0x1fa	0x2010x6d
0x3050x1fa	0x2010x305
0x51b0x1fa	0x2010x51b
0x24fV0x83	0x257B0x83
0x214V0x83	0x21bB0x83
0x24bV0x83	0x25cB0x83
0x260V0x83	0x1f90x213B0x83
0x258V0x83	0x265B0x83
0x2130x205V0x83	0x20c0x213B0x83
0x2130x698V0x83	0x6a00x213B0x83
0x2130x20dV0x83	0x67f0x213B0x83
0x2130x1faV0x83	0x2010x213B0x83
0x3ccV0x16b	0x463B0x16b
0x35eV0x16b	0x365B0x16b
0x395V0x16b	0x50fB0x16b
0x513V0x16b	0x1f90x35dB0x16b
0x485V0x16b	0x48cB0x16b
0x502V0x16b	0x50aB0x16b
0x506V0x16b	0x725B0x16b
0x50bV0x16b	0x518B0x16b
0x35d0x205V0x16b	0x20c0x35dB0x16b
0x35d0x698V0x16b	0x6a00x35dB0x16b
0x35d0x20dV0x16b	0x67f0x35dB0x16b
0x35d0x1faV0x16b	0x2010x35dB0x16b
0x2a4V0xba	0x2acB0xba
0x269V0xba	0x270B0xba
0x2a0V0xba	0x2f7B0xba
0x2fbV0xba	0x1f90x268B0xba
0x2eaV0xba	0x2f2B0xba
0x2f3V0xba	0x300B0xba
0x2680x205V0xba	0x20c0x268B0xba
0x2680x698V0xba	0x6a00x268B0xba
0x2680x20dV0xba	0x67f0x268B0xba
0x2680x1faV0xba	0x2010x268B0xba
