0x1bc	0x8cc262
0x201	0xa47ddd
0x23a	0x6e32820
0x265	0x158ef93e
0x281	0x18160ddd
0x289	0x190bf3c3
0x291	0x1c1f78eb
0x299	0x25e22370
0x2ca	0x2e1a7d4d
0x2e7	0x3d18b912
0x2ef	0x3f2a5540
0x2f7	0x3f782945
0x2ff	0x453f596d
0x332	0x5a1b1dc7
0x3de	0x6e821b2e
0x433	0x70a08231
0x466	0x72f702f3
0x46e	0x80faa57d
0x476	0x98364861
0x4af	0xa694fc3a
0x4cc	0xcd3daf9d
0x4d4	0xd1af0c7d
0x4dc	0xe9fad8ee
0x4e4	0xeacdc5ff
0x4ec	0xecd9ba82
0x524	0xf2db11af
0x55d	0xf8c8765e
0x24f4	0x00000000
