0x248b	0x1d94
0x247f	0x263
0x2473	0x22b
0x2482	0x26b
0x2485	0x273
0x2488	0x295
0x2470	0x218
0x2476	0x233
0x2479	0x23b
0x247c	0x250
0x2461	0x1b9
0x2464	0x1cc
0x2467	0x1df
0x246a	0x1f2
0x246d	0x205
0x2452	0x131
0x2455	0x15c
0x2458	0x17c
0x245b	0x191
0x245e	0x1a4
0x13e20x13a5	0x1504
0x15720x1504	0x176c
0x15920x1504	0x176c
0x358B0x19f	0xbed
0x54aB0x1ed	0xbed
0xf170x1339B0xd94	0x13a5
0x14ed0x1339B0xd94	0x176c
0xf17B0x371B0x1b2	0x13a5
0x14ed0xf17B0x371B0x1b2	0x176c
0x13e20xfe6B0x7d6B0x213	0x1504
0x14ed0x111eB0x97fB0x226	0x176c
0x15720x111eB0x97fB0x226	0x176c
0x15920x111eB0x97fB0x226	0x176c
0x15a4B0x12e2B0x25e	0x17a3
