0x131	0x1652e7b7
0x15c	0x198fa81e
0x17c	0x1c39b672
0x191	0x3111e7b3
0x1a4	0x31873e2e
0x1b9	0x3373ee4c
0x1cc	0x39ccbdd3
0x1df	0x6d34b96e
0x1f2	0x74d945ec
0x205	0x79f171b2
0x218	0x8b599f26
0x22b	0xcc69afec
0x22b	0x919cd40f
0x233	0x99248ea7
0x23b	0xaaf5eb68
0x250	0xc4d66de8
0x263	0xcbcbb507
0x26b	0xdde43cba
0x273	0xf11b8188
0x295	0xf5cf673b
0x1d94	0x00000000
