0x1366S0xd94
0x137eS0xd94
0x1396S0xd94
0x6fdS0x213
0x1010S0x7d6S0x213
0x104dS0x7d6S0x213
0x1066S0x7d6S0x213
0x1084S0x7d6S0x213
0x10beS0x7d6S0x213
0x1100S0x7d6S0x213
0x114bS0x97fS0x226
0x11aeS0x97fS0x226
0x11d3S0x97fS0x226
0x1654S0x12e2S0x25e
0x1658S0x12e2S0x25e
0x1705S0x12e2S0x25e
0x1721S0x12e2S0x25e
0x1630S0x12e2S0x25e
0x1711S0x12e2S0x25e
