0xab	0xb2
0xba	0xc2
0xc4	0x9f4
0xc7	0x237
0xeb	0xf3
0xf5	0xfc0xe7
0x175	0x17d
0x17f	0xfc0x171
0x18a	0x192
0x1b5	0xa2f
0x1e2	0x3c4
0x1f0	0x1f8
0x1fa	0xa50
0x1fd	0x813
0x205	0x20d
0x20f	0xfc0x201
0x21a	0x222
0x224	0xa8b
0x233	0x884
0x372	0xaac
0x37a	0x391
0x38d	0xad3
0x3af	0x39f
0x3d3	0x3db
0x3fb	0x43b
0x403	0x419
0x415	0x43b
0x437	0x427
0x464	0x47e
0x47a	0x45f
0x4bf	0x4d9
0x4d5	0x4ba
0x522	0x53c
0x538	0x51d
0x572	0x5dc
0x5ef	0x67f
0x68c	0x71c
0x71f	0x72f
0x7b7	0x801
0x7bf	0x7d6
0x7d2	0x801
0x7f4	0x7e4
0x893	0x89b
0x8a8	0x8b0
0xb21	0xb31
0xb23	0xb34
0xb25	0xb37
0xb27	0xb3a
0xb29	0xb3d
0xb2b	0xb40
0xb2d	0xb43
0xb2f	0xb46
0xe70x146	0x1630xe7
0x1710x146	0x1630x171
0x2010x146	0x1630x201
0xe70x132	0x11e0xe7
0x1710x132	0x11e0x171
0x2010x132	0x11e0x201
0xe70x123	0x1360xe7
0x1710x123	0x1360x171
0x2010x123	0x1360x201
0x2a0V0xf3	0x2a80x246B0xf3
0x2460x2afV0xf3	0x2bc0x246B0xf3
0x2460x2ddV0xf3	0x2e50x246B0xf3
0x2460x2f5V0xf3	0x2fd0x246B0xf3
0x2460x308V0xf3	0x3100x246B0xf3
0x2460x322V0xf3	0x32a0x246B0xf3
0x87cV0x20d	0x2a80x822B0x20d
0x8220x2afV0x20d	0x2bc0x822B0x20d
0x8220x2ddV0x20d	0x2e50x822B0x20d
0x8220x2f5V0x20d	0x2fd0x822B0x20d
0x8220x308V0x20d	0x3100x822B0x20d
0x8220x322V0x20d	0x32a0x822B0x20d
0x9a2V0x71c	0x992B0x71c
0x945V0x71c	0x959B0x71c
0x964V0x71c	0x986B0x71c
0x988V0x71c	0xafaB0x71c
0x98cV0x71c	0x9a6B0x71c
0x970V0x71c	0x986B0x71c
0x997V0x71c	0xb1dB0x71c
0x955V0x71c	0x986B0x71c
0x982V0x71c	0x96bB0x71c
