0x40	22
0x0	30
0xd	42
0xbe	6
0xef	6
0x179	6
0x18e	6
0x1f4	6
0x209	6
0x21e	6
0x37e	248
0x3d7	6
0x407	248
0x576	90
0x5f3	105
0x690	105
0x7c3	248
0x897	6
0x8ac	6
0xb2	7
0xc2	17
0x9f4	71
0x237	240
0xf3	17
0x17d	17
0x337	369
0x192	232
0xa2f	1
0x3c4	247
0x1f8	17
0xa50	71
0x813	240
0x20d	17
0x222	48
0xa8b	1
0x884	247
0xaac	22
0x391	58
0xad3	22
0x39f	250
0x3db	284
0x43b	87
0x419	58
0x427	250
0x47e	194
0x45f	23
0x4d9	173
0x4ba	23
0x53c	180
0x51d	23
0x5dc	260
0x67f	48
0x71c	42
0x72f	5634
0x801	1169
0x7d6	58
0x7e4	250
0x89b	48
0x8b0	7034
0xb31	0
0xb34	0
0xb37	0
0xb3a	0
0xb3d	0
0xb40	0
0xb43	0
0xb46	0
0x82	1007
0xb6	22
0xe7	22
0x171	22
0x186	22
0x1ec	22
0x201	22
0x216	22
0x4b	22
0x56	22
0x61	22
0x6c	22
0x77	22
0x376	22
0x3b3	24
0x3ff	22
0x468	59
0x4c3	59
0x526	59
0x7bb	22
0x7f8	24
0x1360xe7	51
0x1360x171	51
0x1360x201	51
0x1270xe7	41
0x1270x171	41
0x1270x201	41
0x11e0xe7	26
0x11e0x171	26
0x11e0x201	26
0x1630xe7	30
0x1630x171	30
0x1630x201	30
0x14a0xe7	66
0x14a0x171	66
0x14a0x201	66
0xfc0xe7	91
0xfc0x171	91
0xfc0x201	91
0x2a4B0xf3	6
0x3260x246B0xf3	6
0x30c0x246B0xf3	6
0x2f90x246B0xf3	6
0x2e10x246B0xf3	6
0x2b30x246B0xf3	16
0x246B0xf3	1050
0x2a80x246B0xf3	727
0x2bc0x246B0xf3	86
0x2e50x246B0xf3	44
0x2fd0x246B0xf3	41
0x3100x246B0xf3	50
0x880B0x20d	6
0x3260x822B0x20d	6
0x30c0x822B0x20d	6
0x2f90x822B0x20d	6
0x2e10x822B0x20d	6
0x2b30x822B0x20d	16
0x822B0x20d	1050
0x2a80x822B0x20d	727
0x2bc0x822B0x20d	86
0x2e50x822B0x20d	44
0x2fd0x822B0x20d	41
0x3100x822B0x20d	50
0x99bB0x71c	5023
0x918B0x71c	343
0x959B0x71c	5038
0x986B0x71c	20
0x96bB0x71c	26
0x992B0x71c	26
0x949B0x71c	5041
0x968B0x71c	9
0x974B0x71c	5044
0xaf	6
0x3bc	22
0x3330x246B0xf3	14
0x3330x822B0x20d	14
0xafaB0x71c	14
0x9a6B0x71c	12
0xb1dB0x71c	14
0x32a0x246B0xf3	19
0x32a0x822B0x20d	19
