0x1ce	0x1ed	-32
0x2fb	0x318	-32
0x560	0x57f	-32
0x1342	0x2f0e	0
0x138c	0x2f0e	0
0x1565	0x159a	0
0x1565	0x15fd	32
0x1565	0x15f3	52
0x1565	0x15ed	72
0x1565	0x15e7	76
0x1565	0x15e1	77
0x1565	0x15db	78
0x1565	0x15d5	79
0x1596	0x159a	-32
0x1596	0x15fd	0
0x1596	0x15f3	20
0x1596	0x15ed	40
0x1596	0x15e7	44
0x1596	0x15e1	45
0x1596	0x15db	46
0x1596	0x15d5	47
0x16bf	0x16ba	-64
0x16bf	0x16c0	-32
0xd43V0x34f	0x2be3	0
0xcea0xd8dV0x34f	0x2be3	0
0xe60V0x3e5	0x2c3f	0
0xe60V0x3e5	0xe78S0x3e5	0
0xe070xd8dV0x3e5	0x2c3f	0
0x1203V0x519	0x2e40	0
0x1203V0x519	0x121bS0x519	0
0x11aa0x84eV0x519	0x2e40	0
0x878V0x265	0x87cS0x265	-32
0x878V0x265	0x8caS0x265	0
0x8ccV0x265	0x2af2	0
0x8ccV0x265	0x91cS0x265	0
0x8ccV0x265	0x95fS0x265	0
0x8ccV0x265	0x191fS0xabaS0x265	0
0x92bV0x265	0x2af2	0
0x92bV0x265	0x95fS0x265	0
0x92bV0x265	0x191fS0xabaS0x265	0
0x90bV0x265	0x91cS0x265	0
0xbafV0x2c8	0xbbdS0x2c8	-32
0xbe2V0x2c8	0xbf0S0x2c8	-32
0xc26V0x2c8	0xc34S0x2c8	-32
0x1daaV0x2c8	0x1d9dS0x2c8	-64
0x1daaV0x2c8	0x1daeS0x2c8	-32
0x1ea5V0xc9aV0x2c8	0x247aS0x1f2fS0xca5S0x2c8	0
0x1ea5V0xc9aV0x2c8	0x245aS0x1f2fS0xca5S0x2c8	32
0x1ea5V0xc9aV0x2c8	0x2469S0x1f2fS0xca5S0x2c8	49
0x1ea5V0xc9aV0x2c8	0x253aS0xca5S0x2c8	81
0x1ea5V0xc9aV0x2c8	0x2499S0x1f2fS0xca5S0x2c8	81
0x1ea5V0xc9aV0x2c8	0x2528S0xca5S0x2c8	113
0x1ea5V0xc9aV0x2c8	0x2530S0xca5S0x2c8	134
0x1e4d0x1eefV0xc9aV0x2c8	0x247aS0x1f2fS0xca5S0x2c8	0
