0x40	0x9a0x0
0x9	0x2d
0x29	0x3c
0x2f	0x3c
0x36	0x9a0x2b4
0x4a	0x52
0x54	0x6d
0x5f	0x68
0x69	0xac
0x73	0x7b
0x7d	0x84
0x80	0x149
0x88	0x91
0xfe	0x106
0x2ae	0x2b5
0x2b0	0x2b8
0x00x1b1	0x1b90x0
0x2b40x1b1	0x1b90x2b4
0x00xa6	0x1980x0
0x2b40xa6	0x1980x2b4
0x00xa1	0x16f0x0
0x2b40xa1	0x16f0x2b4
0x00x9e	0xa50x0
0x2b40x9e	0xa50x2b4
0x218V0x84	0x224B0x84
0x220V0x84	0x200B0x84
0x201V0x84	0x209B0x84
0x22dV0x200V0x84	0x235B0x200B0x84
0x231V0x200V0x84	0x23cB0x200B0x84
0x1e4V0x52	0x25cB0x52
0x1ddV0x52	0x1e9B0x52
0x1ecV0x52	0x1f7B0x52
0x1c5V0x1e9V0x52	0x1cdB0x1e9B0x52
0x262V0x1beV0x1e9V0x52	0x26aB0x1beB0x1e9B0x52
0x26dV0x1beV0x1e9V0x52	0x275B0x1beB0x1e9B0x52
0x22dV0x261V0x1beV0x1e9V0x52	0x235B0x261B0x1beB0x1e9B0x52
0x231V0x261V0x1beV0x1e9V0x52	0x23cB0x261B0x1beB0x1e9B0x52
