0x7a	0x81
0x90	0xe3
0xfd	0x104
0x10c	0x114
0x116	0x5e0
0x13d	0x145
0x147	0x61b
0x152	0x15a
0x15c	0x656
0x175	0x17d
0x17f	0x677
0x18a	0x192
0x194	0x6b2
0x19f	0x1a7
0x1a9	0x6d3
0x1b8	0x3b8
0x3b9	0x3c0
0x3d7	0x42a
0x437	0x43f
0x440	0x448
0x46a	0x471
0x6d5	0x6e3
0x6d7	0x6e6
0x6d9	0x6e9
0x6db	0x6ec
0x6dd	0x6ef
0x6df	0x6f2
0x6e1	0x6f5
0x25fV0x15a	0x266B0x15a
0x27dV0x15a	0x2d0B0x15a
0x2d1V0x15a	0x2d9B0x15a
0x2d5V0x15a	0x496B0x15a
0x499V0x15a	0x4a0B0x15a
0x4b3V0x15a	0x4bbB0x15a
0x4bcV0x15a	0x4c4B0x15a
0x4c0V0x15a	0x566B0x15a
0x2ddV0x192	0x2e4B0x192
0x2fbV0x192	0x34eB0x192
0x34fV0x192	0x356B0x192
0x360V0x192	0x367B0x192
0x39dV0x192	0x3acB0x192
0x3a0V0x192	0x3a7B0x192
0x3adV0x192	0x3b6B0x192
0x3a8V0x192	0x4fcB0x192
