0xb48
0xf49
0xf4f
0xf84
0xfa3
0xfbf
0xfda
0x100a
0x1029
0x1045
0x1061
0x1138
0x1194
0x11e4
0x1207
0x230d
0x2313
0x2348
0x2367
0x2383
0x239e
0x23ce
0x23ed
0x2409
0x2425
0x26c8
0x2e59
0x2e5f
0x2e94
0x2eb3
0x2ecf
0x2eea
0x2f1a
0x2f39
0x2f55
0x2f71
0x305d
0x30b9
0x3109
0x312c
