0xb1e	0xb20
0xa4	0x1ca
0xf5	0x317
0xb21	0x65
0xb24	0x85
0xb27	0x98
0xb2a	0xc9
0xb2d	0xe9
0xfe0x0	0x374
0xfe0x1ca	0x374
0xfe0x317	0x374
0xfe0xb20	0x374
0x13aB0x80	0x47c
0xfe0x118B0x80	0x374
0xfe0x205B0xe4	0x374
0x16fB0x93	0x47c
0xfe0x14dB0x93	0x374
