0xa1b	mint(address)
0xad9	balanceOf(address)
0xbbf	transfer(address,uint256)
0xed0	transfer(address,uint256)
0x159f	coins(uint256)
0x19db	add_liquidity(uint256[3],uint256)
0x1b12	balanceOf(address)
0x1bb7	deposit(uint256,address)
0x1dc6	calc_withdraw_one_coin(uint256,int128)
0x264a	calc_withdraw_one_coin(uint256,int128)
0x272d	withdraw(uint256)
0x27bf	remove_liquidity_one_coin(uint256,int128,uint256)
0x2881	balanceOf(address)
0x2ec0	balanceOf(address)
0x2fa1	balanceOf(address)
0x3b88	allowance(address,address)
0x3961S0x2ff6	transfer(address,uint256)
0x3961S0x3c17	approve(address,uint256)
0x109cS0x31b	withdraw(uint256)
0x11cfS0x31b	balanceOf(address)
0x12a7S0x31b	remove_liquidity_one_coin(uint256,int128,uint256)
0x1362S0x31b	balanceOf(address)
0x3961S0x2ff60xf33S0x31b	transfer(address,uint256)
