0x147	0x242241d
0x151	0xc340a24
0x19b	0xed57b3a
0x1ff	0xfc3b4c4
0x283	0x1072cbea
0x2d1	0x125f9e33
0x31b	0x28a07025
0x325	0x35876476
0x429	0x430bf08a
0x473	0x47e7ef24
0x4d5	0x5653b414
0x4f3	0x5d36b190
0x4fd	0x5f515226
0x555	0x790fcf9f
0x683	0x9a6acf20
0x6c7	0xaa388af6
0x723	0xad1728cb
0x72d	0xc7af3352
0x74f	0xcd3b0212
0x77d	0xd38bfff4
0x7c1	0xd9caed12
0x843	0xdbe55e56
0x3f71	0x00000000
