0x11d	0x1d3e760e
0x13f	0x5c60da1b
0x149	0x5cf34bcf
0x162	0x64434174
0x17b	0x69fe0e2d
0x192	0x715018a6
0x19c	0x76c7a3c7
0x1a6	0x8da5cb5b
0x1b0	0x92828671
0x1ba	0xa42dce80
0x1d1	0xbc063e1a
0x1db	0xc415b95c
0x1e5	0xd91959c9
0x1fc	0xddca3f43
0x206	0xf141cb96
0x21d	0xf2fde38b
0x1825	0x00000000
