0x1def	0x1825
0x1cb0	0x1e5
0x1cb3	0x1fc
0x1cb6	0x206
0x1cb9	0x21d
0x1ca4	0x1b0
0x1ca7	0x1ba
0x1caa	0x1d1
0x1cad	0x1db
0x1c98	0x17b
0x1c9b	0x192
0x1c9e	0x19c
0x1ca1	0x1a6
0x1c8c	0x11d
0x1c8f	0x13f
0x1c92	0x149
0x1c95	0x162
