0x0	0xd
0x3f	0x4a
0xd	0x1e
0x59	0x9a6
0xb6	0xef
0xf3	0x101
0x105	0x123
0x145	0x158
0x1ad	0x1c0
0x392	0x3c6
0x3e5	0x402
0x412	0x418
0x40e	0x412
0x48c	0x4d6
0x48b	0x48c
0x4f7	0x4fc
0x4fc	0x506
0x526	0x55a
0x6c8	0x6fc
0x703	0x70a
0x82f	0x837
0x72	0x7a
0x89	0x91
0xa0	0xb2
0x139	0x141
0x18a	0x192
0x1a1	0x1a9
0x1e	0x29
0x29	0x34
0x34	0x3f
0x4a	0x55
0x7d80x0	0x7f50x0
0x7d80xa0	0x7f50xa0
0x7d80x139	0x7f50x139
0x7d80x1a1	0x7f50x1a1
0x7d80x9a8	0x7f50x9a8
0x1e40x0	0x2180x0
0x1e40xa0	0x2180xa0
0x1e40x139	0x2180x139
0x1e40x1a1	0x2180x1a1
0x1e40x9a8	0x2180x9a8
0x236B0x7e	0x26aB0x7e
0x7d80x22eB0x7e	0x7f50x22eB0x7e
0x1e40x22eB0x7e	0x2180x22eB0x7e
0x2d1B0x95	0x305B0x95
0x7d80x2c9B0x95	0x7f50x2c9B0x95
0x1e40x2c9B0x95	0x2180x2c9B0x95
0x5dcB0x196	0x610B0x196
0x617B0x196	0x61fB0x196
0x7d80x5d4B0x196	0x7f50x5d4B0x196
0x1e40x5d4B0x196	0x2180x5d4B0x196
