0xefc	0xf23
0x103f	0x1041
0x1057	0x1087
0x1370	0x1399
0x1419	0x158f
0x19ed	0x19ed
0x1a05	0x1b5a
0x1b7d	0x1bf9
0x1c16	0x1c6e
0x1ce2	0x1d71
0x1d79	0x1ff8
0x2200	0x2499
0x24db	0x266b
0x26fa	0x272c
0x2737	0x29f6
0x2a1f	0x2c8c
0x2eff	0x2eff
0x36f8	0x395c
0x3b73	0x3b97
0x3b9c	0x3baf
0x3bbc	0x3c09
0x400b	0x411b
0x4610	0x465d
0x4678	0x4678
0x4687	0x4751
0x4770	0x4803
0x495c	0x497b
0x49bb	0x49bb
0x4cac	0x4d26
0x4deb	0x4e2e
0x5b42	0x5b61
0x5b69	0x5b80
0x5b8a	0x5b8a
0x5b90	0x5b90
0x5b94	0x5b94
0x5ba8	0x5ba8
0x5bef	0x5c13
0x5fa8	0x5fa8
0x6081	0x6081
0x60c7	0x60c7
0xa51	0x63cf
0xb8c	0x6419
0xded	0x6520
0x1116	0x6641
0x11fa	0x6674
0x124c	0x66c1
0x12f9	0x66f1
0x13a5	0x6760
0x1419	0x67b8
0x1419	0x67e0
0x15b0	0x6808
0x1990	0x691e
0x1c78	0x6968
0x1d79	0x698f
0x1d79	0x69b6
0x21a7	0x6a05
0x2200	0x6a85
0x24db	0x6ad1
0x24db	0x6af6
0x24db	0x6b1b
0x2696	0x6b40
0x26fa	0x6b62
0x2737	0x6bb0
0x2737	0x6bd4
0x2737	0x6bf8
0x2a1f	0x6c1c
0x2a1f	0x6c43
0x2e97	0x6c6a
0x2f06	0x6c90
0x32eb	0x6cb5
0x32eb	0x6cde
0x32eb	0x6d07
0x32eb	0x6d30
0x32eb	0x6d59
0x32eb	0x6d82
0x32eb	0x6dab
0x32eb	0x6dd4
0x32eb	0x6dfd
0x36f8	0x6e26
0x36f8	0x6e4c
0x3bbc	0x6e72
0x400b	0x6fc3
0x400b	0x6fe8
0x400b	0x700d
0x412d	0x7032
0x4168	0x705c
0x41df	0x7086
0x4237	0x70d2
0x4279	0x70f8
0x42b7	0x7120
0x42dc	0x7148
0x430b	0x7197
0x4333	0x71e6
0x4387	0x720e
0x456b	0x72aa
0x456b	0x72d1
0x45c3	0x72fe
0x45c3	0x7325
0x4610	0x7352
0x4687	0x7378
0x4687	0x739e
0x4770	0x73c4
