0xb8c
0xded
0x1091
0x1116
0x124c
0x13a5
0x1419
0x1a05
0x1c78
0x1d79
0x2000
0x21a7
0x2200
0x24db
0x26fa
0x2737
0x2a1f
0x32eb
0x36f8
0x3bbc
0x3f68
0x400b
0x456b
0x45c3
0x4610
0x4687
0x4770
0x487f
0x48f7
0x491d
0x495c
0x49ce
0x5bef
