0x1ea	0x6fdde03
0x267	0x95ea7b3
0x2b4	0x12d43a51
0x2e5	0x153ab505
0x2ef	0x1624f6c6
0x421	0x18160ddd
0x43b	0x20606b70
0x443	0x23b872dd
0x486	0x25240810
0x48e	0x313ce567
0x4ac	0x39509351
0x4e5	0x40c10f19
0x51e	0x4bda2e20
0x526	0x56e67728
0x5cc	0x587cde1e
0x5ff	0x5c19a95c
0x632	0x5c60da1b
0x63a	0x6c945221
0x78b	0x6fcfff45
0x7d7	0x70a08231
0x80a	0x73f03dff
0x83d	0x782d6fe1
0x876	0x7ecebe00
0x8a9	0x95d89b41
0x8b1	0xa457c2d7
0x8ea	0xa9059cbb
0x923	0xb4b5ea57
0x956	0xc3cda520
0x9aa	0xdd62ed3e
0x9e5	0xe7a324dc
0x9ed	0xf1127ed8
0x27ee	0x00000000
