0xef	0x43d5ef36
0x10e	0x5a0100d7
0x166	0x73252494
0x18a	0x73531e06
0x1b9	0x7b41518f
0x1d6	0x8129fc1c
0x1de	0x81ca9527
0x201	0x9be6acf6
0x23e	0x9bf7734b
0x26f	0xaf904a06
0x292	0xb04bee46
0x2bb	0xc4d66de8
0x2e1	0xcfc16254
0x307	0xf00344a6
0x1291	0x00000000
