0x15c	0xfdd58e
0x19a	0x1ffc9a7
0x1d5	0x2fe5305
0x27b	0xe89341c
0x30d	0x158ef93e
0x315	0x2eb2c2d6
0x4d6	0x3092afd5
0x4fc	0x40c10f19
0x528	0x485cc955
0x556	0x4e1273f4
0x6c9	0x4fb2e45d
0x6ef	0x6c0360eb
0x6f7	0x70c2f239
0x77a	0x8da5cb5b
0x79e	0x9204aac6
0x7a6	0x983b2d56
0x7cc	0x9dc29fac
0x7f8	0xa22cb465
0x826	0xaa936a0d
0x84c	0xb2dc5dc3
0x8ca	0xc5b8f772
0x8f6	0xe985e9c5
0x924	0xf242432a
0x9ed	0xf46eccc4
0x28b7	0x00000000
