0xd7c	0xd9f
0x20b5	0x21a0
0x21ad	0x21f2
0x22a0	0x241b
0x2aa2	0x2aa2
0x25e8	0x32ab
0x28c3	0x32d0
0x28c3	0x32f5
0x1a7c	0x1dee0x1a7c
0x1e20	0x209f0x1e20
0xdc8	0x314c0xdc8
0xdc8	0x31730xdc8
0xdc8	0x319a0xdc8
0xf0c	0x31e60xf0c
0x136b	0x31e60x136b
0x11cd	0x320f0x11cd
0x136b	0x32360x136b
0x196f	0x325f0x196f
